bh_id,measure_num,strokes_water,pump_strokes,pump_time,pump_cap,leak_rate_10,flow_rate,conductivity,turbidity,starttime
223,1,32,93,109,215.0537634,688.172043,0.660550459,862,1.610000014,2020-11-25 00:59:56 UTC
223,2,32,111,145,180.1801802,576.5765766,0.496551724,857,11.93000031,2020-11-25 01:23:42 UTC
223,3,26,84,80,238.0952381,619.047619,0.9,930,2.190000057,2020-11-25 02:41:28 UTC
223,4,30,84,95,238.0952381,714.2857143,0.757894737,920,5.179999828,2020-11-25 03:58:02 UTC
224,1,27,65,71,307.6923077,830.7692308,1.014084507,308,5.400000095,2020-11-25 01:58:03 UTC
224,2,17,56,96,357.1428571,607.1428571,0.75,666,4.429999828,2020-11-25 04:36:03 UTC
225,1,4,74,110,270.2702703,108.1081081,0.654545455,783,2.480000019,2020-11-25 03:20:55 UTC
225,2,3,74,102,270.2702703,81.08108108,0.705882353,786,1.289999962,2020-11-25 03:40:24 UTC
225,3,2,64,84,312.5,62.5,0.857142857,718,1.399999976,2020-11-25 04:02:24 UTC
225,4,4,69,70,289.8550725,115.942029,1.028571429,772,1.620000005,2020-11-25 04:20:29 UTC
226,1,42,93,120,215.0537634,903.2258065,0.6,549,2.299999952,2020-12-08 23:01:35 UTC
226,2,34,60,64,333.3333333,1133.333333,1.125,550,12.5,2020-12-09 01:00:32 UTC
226,3,5,64,112,312.5,156.25,0.642857143,550,3.200000048,2020-12-09 01:12:50 UTC
226,4,38,74,111,270.2702703,1027.027027,0.648648649,521,25.55999947,2020-12-09 02:17:04 UTC
226,5,42,66,80,303.030303,1272.727273,0.9,535,40.43999863,2020-12-09 02:31:30 UTC
227,1,0,59,91,338.9830508,0,0.791208791,2290,1.25999999,2020-11-30 00:01:33 UTC
227,2,0,55,65,363.6363636,0,1.107692308,2300,0.170000002,2020-11-30 00:29:51 UTC
227,3,0,52,116,384.6153846,0,0.620689655,2310,2.49000001,2020-11-30 03:19:50 UTC
227,4,0,45,50,444.4444444,0,1.44,2350,0.560000002,2020-11-30 03:55:26 UTC
227,5,0,49,55,408.1632653,0,1.309090909,2330,0.150000006,2020-11-30 04:28:32 UTC
228,1,23,152,107,131.5789474,302.6315789,0.672897196,481,2.519999981,2020-12-08 23:53:24 UTC
228,2,19,80,60,250,475,1.2,470,4.380000114,2020-12-09 01:47:16 UTC
228,3,22,87,115,229.8850575,505.7471264,0.626086957,473,1.840000033,2020-12-09 02:32:19 UTC
228,4,18,90,81,222.2222222,400,0.888888889,476,0.75999999,2020-12-09 05:50:17 UTC
229,1,0,79,88,253.164557,0,0.818181818,186.8999939,2.440000057,2020-11-25 23:20:50 UTC
229,2,0,65,55,307.6923077,0,1.309090909,188.1999969,1.620000005,2020-11-26 01:25:06 UTC
229,3,0,81,151,246.9135802,0,0.476821192,191,2.059999943,2020-11-26 02:20:58 UTC
229,4,1,78,71,256.4102564,25.64102564,1.014084507,191.8999939,0.239999995,2020-11-26 02:54:16 UTC
230,1,0,54,58,370.3703704,0,1.24137931,782,0.270000011,2020-11-29 23:31:53 UTC
230,2,0,54,52,370.3703704,0,1.384615385,779,1.019999981,2020-11-29 23:39:21 UTC
230,3,0,51,48,392.1568627,0,1.5,787,0.529999971,2020-11-29 23:53:30 UTC
230,4,0,51,49,392.1568627,0,1.469387755,778,0.159999996,2020-11-30 01:47:13 UTC
230,5,0,54,57,370.3703704,0,1.263157895,785,1.049999952,2020-11-30 05:08:09 UTC
231,1,14,58,56,344.8275862,482.7586207,1.285714286,1248,32.84000015,2020-11-26 03:38:08 UTC
231,2,5,75,95,266.6666667,133.3333333,0.757894737,1308,23.29999924,2020-11-26 03:49:25 UTC
231,3,37,68,84,294.1176471,1088.235294,0.857142857,1248,31.89999962,2020-11-26 04:04:53 UTC
231,4,37,61,70,327.8688525,1213.114754,1.028571429,1273,73.36000061,2020-11-26 04:16:09 UTC
232,1,20,85,94,235.2941176,470.5882353,0.765957447,621,11.77999973,2020-11-26 01:11:31 UTC
232,2,15,75,92,266.6666667,400,0.782608696,604,29.20000076,2020-11-26 01:21:51 UTC
232,3,21,92,134,217.3913043,456.5217391,0.537313433,619,11.36999989,2020-11-26 02:37:12 UTC
232,4,19,104,154,192.3076923,365.3846154,0.467532468,621,16.39999962,2020-11-26 04:10:15 UTC
